state,average_customers_out,State,total,x,y,abbr,name,fips,Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Alaska,48061.07608695652,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
California,568539.3011527377,California,39538223,0,3,CA,California,6,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235
Hawaii,164330.85185185185,Hawaii,1455271,0,7,HI,Hawaii,15,1455271,1087142,333261,23417,4370,541902,157445,26747,368129
Washington,140773.861575179,Washington,7705281,1,2,WA,Washington,53,7705281,6868622,5130920,307565,121468,730596,64933,513140,836659
Oregon,173576.21256038648,Oregon,4237256,1,3,OR,Oregon,41,4237256,3793917,3169096,82655,62993,194538,19204,265431,443339
Nevada,36217.68449197861,Nevada,3104614,1,4,NV,Nevada,32,3104614,2670605,1588463,304739,43932,272703,25011,435757,434009
Montana,25322.834896810506,Montana,1084225,2,2,MT,Montana,30,1084225,1012950,916524,5484,67612,8300,941,14089,71275
Idaho,37955.636182902585,Idaho,1839106,2,3,ID,Idaho,16,1839106,1685901,1510360,15726,25621,26836,3726,103632,153205
Utah,134012.7981927711,Utah,3271616,2,4,UT,Utah,49,3271616,2992603,2573413,40058,41644,80438,36930,220120,279013
Arizona,103132.83850931677,Arizona,7151502,2,5,AZ,Arizona,4,7151502,6154696,4322337,339150,319512,257430,16397,899870,996806
North Dakota,6122.863636363636,North Dakota,779094,3,2,ND,North Dakota,38,779094,737154,645938,26783,38914,13213,924,11382,41940
Wyoming,17185.467181467182,Wyoming,576851,3,3,WY,Wyoming,56,576851,533378,488374,5232,13898,5212,579,20083,43473
Colorado,41969.23283082077,Colorado,5773714,3,4,CO,Colorado,8,5773714,5066044,4082927,234828,74129,199827,10287,464046,707670
New Mexico,31562.391585760517,New Mexico,2117522,3,5,NM,New Mexico,35,2117522,1695276,1078937,45904,212241,37469,2093,318632,422246
Texas,96180.65172981878,Texas,29145505,3,6,TX,Texas,48,29145505,24011767,14609365,3552997,278948,1585480,33611,3951366,5133738
South Dakota,13237.732503888024,South Dakota,886667,4,2,SD,South Dakota,46,886667,840002,715336,17842,77748,13476,543,15057,46665
Nebraska,10214.499068901303,Nebraska,1961504,4,3,NE,Nebraska,31,1961504,1817341,1538052,96535,23102,52951,1534,105167,144163
Kansas,8564.646363636364,Kansas,2937880,4,4,KS,Kansas,20,2937880,2657373,2222462,168809,30995,86273,3412,145422,280507
Oklahoma,249722.5337690632,Oklahoma,3959353,4,5,OK,Oklahoma,40,3959353,3451195,2514885,289961,332791,90949,8608,214001,508158
Louisiana,913908.9010416666,Louisiana,4657757,4,6,LA,Louisiana,22,4657757,4384380,2657652,1464023,31657,86438,1911,142699,273377
Minnesota,27571.51882352941,Minnesota,5706494,5,2,MN,Minnesota,27,5706494,5360773,4423146,398434,68641,299190,2918,168444,345721
Iowa,149258.5768581081,Iowa,3190369,5,3,IA,Iowa,19,3190369,3011086,2694521,131972,14486,75629,5758,88720,179283
Missouri,24121.344070278185,Missouri,6154913,5,4,MO,Missouri,29,6154913,5741742,4740335,699840,30518,133377,9730,127942,413171
Arkansas,78131.22446689113,Arkansas,3011524,5,5,AR,Arkansas,5,3011524,2797949,2114512,453783,27177,51839,14533,136105,213575
Mississippi,118457.82112068965,Mississippi,2961279,5,6,MS,Mississippi,28,2961279,2850547,1658893,1084481,16450,32709,1154,56860,110732
Wisconsin,25971.374854481957,Wisconsin,5893718,6,2,WI,Wisconsin,55,5893718,5534184,4737545,376256,60428,175702,2199,182054,359534
Illinois,113976.95257563368,Illinois,12812508,6,3,IL,Illinois,17,12812508,11667524,7868227,1808271,96498,754878,4501,1135149,1144984
Kentucky,30876.799016163037,Kentucky,4505836,6,4,KY,Kentucky,21,4505836,4260996,3711254,362417,12801,74426,3681,96417,244840
Tennessee,94894.60425531915,Tennessee,6910840,6,5,TN,Tennessee,47,6910840,6497942,4990938,1092948,28044,135615,4115,246282,412898
Alabama,294319.74352331605,Alabama,5024279,6,6,AL,Alabama,1,5024279,4767326,3220452,1296162,33625,76660,2984,137443,256953
Michigan,190702.8185483871,Michigan,10077331,7,2,MI,Michigan,26,10077331,9442016,7444974,1376579,61261,334300,3051,221851,635315
Indiana,47168.58079409049,Indiana,6785528,7,3,IN,Indiana,18,6785528,6348802,5241795,648513,26086,167959,3137,261312,436726
West Virginia,69812.10606060606,West Virginia,1793716,7,4,WV,West Virginia,54,1793716,1708772,1610749,65813,3706,15109,476,12919,84944
Virginia,65031.33559322034,Virginia,8631393,7,5,VA,Virginia,51,8631393,7925686,5208856,1607581,40007,615436,7156,446650,705707
Georgia,80318.57572559366,Georgia,10711908,7,6,GA,Georgia,13,10711908,9968000,5555483,3320513,50618,479028,7299,555059,743908
Florida,202463.83457711444,Florida,21538187,7,7,FL,Florida,12,21538187,17986115,12422961,3246381,94795,643682,14014,1564282,3552072
Ohio,110230.24715909091,Ohio,11799448,8,3,OH,Ohio,39,11799448,11118076,9080688,1478781,30720,298509,5034,224344,681372
District of Columbia,162845.25,District of Columbia,689545,8,4,DC,District of Columbia,11,689545,633468,273194,285810,3193,33545,432,37294,56077
North Carolina,123371.46583333334,North Carolina,10439388,8,5,NC,North Carolina,37,10439388,9727667,6488459,2140217,130032,343051,8518,617390,711721
South Carolina,117147.13405797101,South Carolina,5118425,8,6,SC,South Carolina,45,5118425,4820049,3243442,1280531,24303,90466,3431,177876,298376
Vermont,34665.22023809524,Vermont,643077,9,1,VT,Vermont,50,643077,606051,577751,9034,2289,11549,181,5247,37026
New York,464950.29704301077,New York,20201249,9,2,NY,New York,36,20201249,18433786,11143349,2986172,149690,1933127,10815,2210633,1767463
Pennsylvania,198033.05099502488,Pennsylvania,13002700,9,3,PA,Pennsylvania,42,13002700,12228216,9750687,1423169,31052,510501,4276,508531,774484
Maryland,80582.05902777778,Maryland,6177224,9,4,MD,Maryland,24,6177224,5695323,3007874,1820472,31845,420944,3247,410941,481901
New Hampshire,175231.45833333334,New Hampshire,1377529,10,1,NH,New Hampshire,33,1377529,1299787,1216203,20127,3031,35871,453,24102,77742
Connecticut,2689267.0520833335,Connecticut,3605944,10,2,CT,Connecticut,9,3605944,3273040,2395128,388675,16051,172455,1598,299133,332904
New Jersey,1155558.6944444445,New Jersey,9288994,10,3,NJ,New Jersey,34,9288994,8385500,5112280,1219770,51186,950090,3533,1048641,903494
Delaware,244503.11111111112,Delaware,989948,10,4,DE,Delaware,10,989948,913430,597763,218899,5148,42699,412,48509,76518
Maine,630776.6927083334,Maine,1362359,11,0,ME,Maine,23,1362359,1297649,1237041,25752,7885,16798,443,9730,64710
Massachusetts,420040.3988095238,Massachusetts,7029917,11,1,MA,Massachusetts,25,7029917,6421050,4896037,494029,24018,507934,2301,496731,608867
Rhode Island,334560.7833333333,Rhode Island,1097379,11,2,RI,Rhode Island,44,1097379,995585,782920,62168,7385,38961,536,103615,101794
